name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Buchnera aphidicola	9	species	619958	6	5	0.0
Dictyoglomus thermophilum	14	species	1959987	1	0	0.0
Treponema denticola	158	species	2843201	1	0	0.0
Treponema succinifaciens	167	species	2897425	1	0	0.0
Azospirillum brasilense	192	species	13978806	2	1	0.0
Azospirillum lipoferum	193	species	7223069	1	0	0.0
Achromobacter	222	genus	0	1	0	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	1	0	0.0
Francisella tularensis	263	species	2777166	1	1	0.0
Xanthobacter autotrophicus	280	species	5625098	1	0	0.0
Pseudomonas	286	genus	0	2426	0	0.0
Pseudomonas aeruginosa	287	species	22457305	265	8	3.2167e-07
Pseudomonas putida	303	species	6888188	326	0	1.4872e-16
Ralstonia solanacearum	305	species	11186335	1	0	0.0
Pseudomonas stutzeri	316	species	7755802	1	1	0.0
Ralstonia pickettii	329	species	6378979	1	0	0.0
Xanthomonas	338	genus	0	3	1	0.0
Azotobacter vinelandii	354	species	5351632	1	0	0.0
Rhizobiales	356	order	0	1	0	0.0
Bradyrhizobium japonicum	375	species	9215796	2	1	0.0
Bradyrhizobium sp.	376	species	7547693	1	1	0.0
Methylobacterium extorquens	408	species	6163878	1	1	0.0
Legionella pneumophila	446	species	15688009	2	1	0.0
Legionella hackeliae	449	species	3570857	1	1	0.0
Moraxellaceae	468	family	0	351	0	0.0
Acinetobacter	469	genus	0	613	0	0.0
Acinetobacter baumannii	470	species	11595472	284	14	0.0
Neisseriaceae	481	family	0	136	0	0.0
Neisseria meningitidis	487	species	8508873	4	4	0.0
Kingella kingae	504	species	2140065	4	0	0.0
Alcaligenes	507	genus	0	3	0	0.0
Enterobacteriaceae	543	family	0	4031	121	0.0
Citrobacter	544	genus	0	103	0	0.0
Citrobacter koseri	545	species	4735357	4519	157	9.4595e-05
Citrobacter freundii	546	species	16193243	13781	140	2.11231e-05
Enterobacter	547	genus	0	97	0	0.0
[Enterobacter] aerogenes	548	species	10750562	6932	220	0.000102907
Pantoea agglomerans	549	species	9924054	4	2	0.0
Enterobacter cloacae	550	species	10083180	285	1	1.1339e-23
Erwinia amylovora	552	species	3869718	2	0	0.0
Pantoea ananatis	553	species	4842757	2	0	0.0
Pectobacterium carotovorum	554	species	4852842	2	2	0.0
Escherichia	561	genus	0	249	0	0.0
Escherichia coli	562	species	12319210	2447265	2156874	0.992716
Shimwellia blattae	563	species	4158725	27	3	9.79891e-22
Escherichia fergusonii	564	species	4643861	23952	1437	0.000814658
Hafnia alvei	569	species	6928293	3	1	9.02165e-28
Klebsiella	570	genus	0	843	0	0.0
Klebsiella oxytoca	571	species	16779606	137	25	2.58499e-06
Klebsiella pneumoniae	573	species	15713353	94598	2994	0.000915985
Morganella	581	genus	0	604	0	0.0
Morganella morganii	582	species	3853791	40	1	1.82915e-24
Proteus	583	genus	0	1903	0	0.0
Proteus mirabilis	584	species	5337360	9468	867	0.000337484
Proteus vulgaris	585	species	3794983	4436	0	3.38527e-16
Providencia	586	genus	0	13	0	0.0
Providencia stuartii	588	species	6521015	2	2	0.0
Salmonella	590	genus	0	29	0	0.0
Serratia	613	genus	0	18	0	0.0
Serratia liquefaciens	614	species	7946985	2	0	0.0
Serratia marcescens	615	species	8465231	116	4	4.36768e-27
Shigella	620	genus	0	19487	0	0.0
Shigella boydii	621	species	4698475	53689	1689	0.000974772
Shigella dysenteriae	622	species	4560911	39183	2259	0.00141108
Shigella flexneri	623	species	4763519	65452	1378	0.0007841
Shigella sonnei	624	species	6798914	64281	995	0.000283298
Xenorhabdus nematophila	628	species	4586662	2	2	0.0
Yersinia	629	genus	0	1441	0	0.0
Yersinia enterocolitica	630	species	14308813	3598	83	2.74428e-05
Yersinia intermedia	631	species	4859749	1	1	0.0
Yersinia pestis	632	species	7124135	6974	55	0.000121136
Yersinia pseudotuberculosis	633	species	9565781	3938	9	2.61051e-06
Edwardsiella	635	genus	0	381	0	0.0
Edwardsiella tarda	636	species	3717889	23	2	3.66687e-24
Aeromonas	642	genus	0	2248	0	0.0
Aeromonas hydrophila	644	species	7739252	1	0	0.0
Aeromonas salmonicida	645	species	5040536	69	0	0.0
Aeromonas media	651	species	4788430	2	0	0.0
Aeromonas schubertii	652	species	4400034	1	0	0.0
Aeromonas veronii	654	species	7214925	71	0	0.0
Vibrio	662	genus	0	7	0	0.0
Vibrio alginolyticus	663	species	8138835	1	1	0.0
Vibrio cholerae	666	species	6170861	6	3	0.0
Vibrio parahaemolyticus	670	species	10344823	1	1	0.0
Plesiomonas shigelloides	703	species	3405979	4	3	0.0
Pasteurellaceae	712	family	0	1292	0	0.0
Actinobacillus	713	genus	0	237	0	0.0
Actinobacillus pleuropneumoniae	715	species	2299903	2	1	3.14648e-06
Haemophilus	724	genus	0	238	0	0.0
Haemophilus influenzae	727	species	2672708	1	0	0.0
Haemophilus parainfluenzae	729	species	2086875	35	1	0.0
[Haemophilus] ducreyi	730	species	10121291	34	0	0.0
Pasteurella	745	genus	0	229	0	0.0
Pasteurella multocida	747	species	2546987	2	0	0.0
Gallibacterium anatis	750	species	2694139	1	1	0.0
Chlamydia trachomatis	813	species	1376168	1	0	0.0
Desulfobulbus propionicus	894	species	3851869	1	0	0.0
Megasphaera elsdenii	907	species	2504349	1	1	0.0
Nitrosomonas eutropha	916	species	2781824	1	0	0.0
Acidithiobacillus ferrooxidans	920	species	2933717	1	1	0.0
Thiomonas intermedia	926	species	3462095	2	0	0.0
Wolbachia	953	genus	0	1	0	0.0
Rhodopseudomonas palustris	1076	species	5408501	4	4	0.0
Nitrosococcus oceani	1229	species	3522111	1	0	0.0
Gammaproteobacteria	1236	class	0	87	0	0.0
Streptococcus anginosus	1328	species	2557124	1	1	0.0
Bacillus anthracis	1392	species	17446789	1	1	0.0
Bacillus thuringiensis	1428	species	10269592	1	1	0.0
Thermodesulfobacterium commune	1741	species	1764045	1	0	0.0
Mycobacterium kansasii	1768	species	6489764	1	1	0.0
Mycobacterium leprae	1769	species	3268137	1	0	0.0
Streptomyces reticuli	1926	species	9336224	1	0	0.0
Streptomyces scabiei	1930	species	10148695	1	0	0.0
Streptomycetaceae	2062	family	0	1	0	0.0
Thermotoga	2335	genus	0	1	0	0.0
Thermotoga maritima	2336	species	5599391	2	0	0.0
Xylella fastidiosa	2371	species	2609554	2	0	0.0
Thermosipho africanus	2421	species	2016657	2	0	0.0
Fervidobacterium	2422	genus	0	2	0	0.0
Marinobacter hydrocarbonoclasticus	2743	species	4384621	1	0	0.0
Halomonas elongata	2746	species	4061296	1	1	0.0
Homo sapiens	9606	species	3238442024	23	7	0.0
Escherichia virus P1	10678	species	94800	1	1	0.0
Enterobacteria phage 933W	10730	leaf	61670	2	0	0.0
Enterobacteria phage If1	10868	species	8454	4	0	0.0
Acidovorax	12916	genus	0	985	0	0.0
Burkholderia gladioli	28095	species	8975879	2	0	0.0
Alteromonas macleodii	28108	species	5557691	1	1	0.0
Cronobacter sakazakii	28141	species	5648091	54	4	1.61283e-22
Serratia proteamaculans	28151	species	5495657	1	0	0.0
Geobacter metallireducens	28232	species	4011182	1	0	0.0
Thermodesulfovibrio yellowstonii	28262	species	2003803	2	0	0.0
Salmonella enterica	28901	species	6689149	34483	718	0.000210297
Yersinia aldovae	29483	species	4471090	2	0	0.0
Yersinia frederiksenii	29484	species	4550894	1	0	0.0
Yersinia ruckeri	29486	species	7304941	5	3	0.0
Photorhabdus luminescens	29488	species	5688987	7	1	0.0
Rhodobacteraceae	31989	family	0	1	0	0.0
Burkholderia	32008	genus	0	1	0	0.0
Kingella	32257	genus	0	1135	0	0.0
synthetic construct	32630	species	26537524	3102	642	2.44408e-05
Sphingopyxis terrae	33052	species	3983415	2	0	0.0
Thauera	33057	genus	0	12	0	0.0
Rahnella aquatilis	34038	species	5656799	1	0	0.0
Citrobacter amalonaticus	35703	species	7931914	369	64	1.89109e-06
Paraburkholderia xenovorans	36873	species	19434089	1	0	0.0
Thiomicrospira crunogena	39765	species	2427734	1	0	0.0
Stenotrophomonas maltophilia	40324	species	6512435	1	0	0.0
Xenorhabdus bovienii	40576	species	4523083	1	0	0.0
Xenorhabdus poinarii	40577	species	3659523	1	0	0.0
Thioploca ingrica	40754	species	4810005	1	0	0.0
Pseudoalteromonas rubra	43658	species	5913780	1	0	0.0
Tolumonas auensis	43948	species	3471292	1	0	0.0
Ferrimonas balearica	44012	species	4279159	1	0	0.0
Serratia fonticola	47917	species	12326310	2	1	0.0
Wigglesworthia glossinidia	51229	species	711269	3	2	0.0
Pantoea	53335	genus	0	504	0	0.0
Hyphomicrobium denitrificans	53399	species	3723828	1	0	0.0
Raoultella ornithinolytica	54291	species	13911666	107	8	7.45816e-14
Salmonella bongori	54736	species	4542714	232	15	1.82982e-21
Alcanivorax borkumensis	59754	species	3120143	1	0	0.0
Shewanella amazonensis	60478	species	4306142	2	1	0.0
Enterobacter asburiae	61645	species	6470569	11	5	0.0
Lelliottia amnigena	61646	species	4616371	11	1	0.0
Pluralibacter gergoviae	61647	species	5489680	70	13	3.78463e-19
Kluyvera intermedia	61648	species	6166452	131	41	1.17542e-06
Serratia rubidaea	61652	species	4922834	7	1	0.0
Aquifex aeolicus	63363	species	1590791	1	1	0.0
Sodalis glossinidius	63612	species	4292502	3	1	0.0
Desulfocapsa sulfexigens	65555	species	4023512	1	0	0.0
Citrobacter rodentium	67825	species	5444283	377	36	3.84006e-15
Streptomyces cyaneogriseus	68192	species	7762396	1	1	0.0
Deinococcus geothermalis	68909	species	3247018	1	1	0.0
Thiocystis violascens	73141	species	5017071	1	1	0.0
Photobacterium profundum	74109	species	6403280	1	0	0.0
Maricaulis maris	74318	species	3368780	1	0	0.0
Pseudomonas balearica	74829	species	4383480	1	1	0.0
Erwinia pyrifoliae	79967	species	4072846	2	1	0.0
Burkholderiales	80840	order	0	1	0	0.0
Moritella viscosa	80854	species	5093989	2	0	0.0
Comamonadaceae	80864	family	0	937	0	0.0
Treponema brennaborense	81028	species	3055580	1	0	0.0
Obesumbacterium	82982	genus	0	41	0	0.0
Obesumbacterium proteus	82983	species	5011796	412	2	9.50174e-25
Pragia fontium	82985	species	4094629	1	1	0.0
Serratia plymuthica	82996	species	6554843	1	0	0.0
Chlamydia felis	83556	species	1173791	1	0	0.0
Chlamydia pneumoniae	83558	species	2460618	1	0	0.0
Chlamydia muridarum	83560	species	1503632	1	0	0.0
Leclercia adecarboxylata	83655	species	4803917	25	7	1.5097e-06
Aeromonadaceae	84642	family	0	1168	0	0.0
Desulfotalea psychrophila	84980	species	3659634	2	0	0.0
Corynebacteriales	85007	order	0	3	0	0.0
Microbacteriaceae	85023	family	0	1	0	0.0
Achromobacter xylosoxidans	85698	species	9063264	1	0	0.0
Enterobacterales	91347	order	0	1303	0	0.0
